2025-06-01 at 19:42:51 | INFO | finance.routes.expense_routes:get_expense_by_id:32 | Fetching expense with ID: 1
2025-06-01 at 19:42:51 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:42:51 | DEBUG | finance.services.expense_service:get_expense_by_id:26 | expense: (1, 100.0, 'Shopping', 'PS5 Slim disc edition', '2025-06-01')
2025-06-01 at 19:42:56 | INFO | finance.routes.expense_routes:all_expenses:14 | Fetching all expenses
2025-06-01 at 19:42:56 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:42:56 | DEBUG | finance.services.expense_service:get_all_expenses:14 | expenses: [(1, 100.0, 'Shopping', 'PS5 Slim disc edition', '2025-06-01')]
2025-06-01 at 19:43:03 | INFO | finance.routes.expense_routes:delete_expense_by_id:51 | Deleting expense with ID: 2
2025-06-01 at 19:43:03 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:43:03 | DEBUG | finance.services.expense_service:get_expense_by_id:26 | expense: None
2025-06-01 at 19:43:06 | INFO | finance.routes.expense_routes:delete_expense_by_id:51 | Deleting expense with ID: 1
2025-06-01 at 19:43:06 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:43:06 | DEBUG | finance.services.expense_service:get_expense_by_id:26 | expense: (1, 100.0, 'Shopping', 'PS5 Slim disc edition', '2025-06-01')
2025-06-01 at 19:43:06 | DEBUG | finance.services.expense_service:delete_expense_by_id:59 | expense_id: 1
2025-06-01 at 19:43:06 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:43:09 | INFO | finance.routes.expense_routes:delete_expense_by_id:51 | Deleting expense with ID: 1
2025-06-01 at 19:43:09 | DEBUG | finance.db.db_api:get_instance:30 | An instance of DBApi exists with db_name: finance.db
2025-06-01 at 19:43:09 | DEBUG | finance.services.expense_service:get_expense_by_id:26 | expense: None
